sts_chassis_t,sts_speed_mps,sts_steering
1570687257.27,0.19140625,78.9166641235
1570687257.28,0.193359375,78.9166641235
1570687257.29,0.1953125,78.9166641235
1570687257.3,0.197265625,78.9166641235
1570687257.31,0.19921875,78.8958358765
1570687257.32,0.201171875,78.8958358765
1570687257.33,0.203125,78.7916641235
1570687257.34,0.205078125,78.7916641235
1570687257.35,0.20703125,78.6666641235
1570687257.36,0.208984375,78.6666641235
1570687257.37,0.2109375,78.5625
1570687257.38,0.212890625,78.5625
1570687257.39,0.21484375,78.5208358765
1570687257.4,0.216796875,78.5208358765
1570687257.41,0.21875,78.5208358765
1570687257.42,0.21875,78.5208358765
1570687257.43,0.21875,78.5208358765
1570687257.44,0.220703125,78.5208358765
1570687257.45,0.22265625,78.5208358765
1570687257.46,0.224609375,78.5208358765
1570687257.47,0.2265625,78.5
1570687257.48,0.228515625,78.5
1570687257.49,0.23046875,78.5
1570687257.5,0.232421875,78.5
1570687257.51,0.234375,78.4583358765
1570687257.52,0.236328125,78.4583358765
1570687257.53,0.23828125,78.4166641235
1570687257.54,0.240234375,78.4166641235
1570687257.55,0.2421875,78.3958358765
1570687257.56,0.244140625,78.3958358765
1570687257.57,0.24609375,78.3958358765
1570687257.58,0.248046875,78.3958358765
1570687257.59,0.25,78.3958358765
1570687257.6,0.25,78.3958358765
1570687257.61,0.25,78.3958358765
1570687257.62,0.25,78.3958358765
1570687257.63,0.25,78.3541641235
1570687257.64,0.251953125,78.3541641235
1570687257.65,0.25390625,78.3541641235
1570687257.66,0.255859375,78.3541641235
1570687257.67,0.2578125,78.1666641235
1570687257.68,0.259765625,78.1666641235
1570687257.69,0.26171875,77.8541641235
1570687257.7,0.263671875,77.8541641235
1570687257.71,0.265625,77.5625
1570687257.72,0.267578125,77.5625
1570687257.73,0.26953125,77.2916641235
1570687257.74,0.271484375,77.2916641235
1570687257.75,0.2734375,77.1666641235
1570687257.76,0.275390625,77.1666641235
1570687257.77,0.27734375,77.0625
1570687257.78,0.279296875,77.0625
1570687257.79,0.28125,77.0625
1570687257.8,0.28125,77.0625
1570687257.81,0.28125,77.0625
1570687257.82,0.283203125,77.0625
1570687257.83,0.28515625,77.0625
1570687257.84,0.287109375,77.0625
1570687257.85,0.2890625,77.0208358765
1570687257.86,0.291015625,77.0208358765
1570687257.87,0.29296875,77.0208358765
1570687257.88,0.294921875,77.0208358765
1570687257.89,0.296875,77.0
1570687257.9,0.298828125,77.0
1570687257.91,0.30078125,76.9583358765
1570687257.92,0.302734375,76.9583358765
1570687257.93,0.3046875,76.9583358765
1570687257.94,0.30859375,76.9583358765
1570687257.95,0.3125,76.8958358765
1570687257.96,0.31640625,76.8958358765
1570687257.97,0.3203125,76.8541641235
1570687257.98,0.322265625,76.8541641235
1570687257.99,0.32421875,76.8333358765
1570687258.0,0.326171875,76.8333358765
1570687258.01,0.328125,76.7916641235
1570687258.02,0.330078125,76.7916641235
1570687258.03,0.33203125,76.8333358765
1570687258.04,0.333984375,76.8333358765
1570687258.05,0.3359375,76.8958358765
1570687258.06,0.337890625,76.8958358765
1570687258.07,0.33984375,77.0208358765
1570687258.08,0.341796875,77.0208358765
1570687258.09,0.34375,77.1875
1570687258.1,0.34375,77.1875
1570687258.11,0.34375,77.3541641235
1570687258.12,0.345703125,77.3541641235
1570687258.13,0.34765625,77.5
1570687258.14,0.349609375,77.5
1570687258.15,0.3515625,77.6666641235
1570687258.16,0.353515625,77.6666641235
1570687258.17,0.35546875,77.7916641235
1570687258.18,0.359375,77.7916641235
1570687258.19,0.36328125,77.8958358765
1570687258.2,0.365234375,77.8958358765
1570687258.21,0.3671875,78.0
1570687258.22,0.369140625,78.0
1570687258.23,0.37109375,78.0833358765
1570687258.24,0.373046875,78.0833358765
1570687258.25,0.375,78.1875
