x,y,theta,kappa,dkappa,speed,acc,station
453447.9262169652,4398757.358343573,-1.3761624850032033,-0.004388465194027446,-0.003436145072933429,3.660767729840203,-0.07895191502158624,2.214314641568884
453447.9404434053,4398757.286539645,-1.3763896372347024,-0.004656375437076797,-0.00350632485534857,3.6592087357769034,-0.07694840253939988,2.2875143394409116
453447.9546638635,4398757.214765909,-1.3766166939515365,-0.004924173027228373,-0.003576475128045216,3.6576897549263454,-0.07495071189942143,2.360683257757862
453447.9688784949,4398757.143021582,-1.3768436576333138,-0.005191860889007673,-0.0036465966571104006,3.6562106637625686,-0.0729595520131785,2.433822195572361
453447.9827764953,4398757.071245138,-1.3773142236836158,-0.0055358752008016,-0.003736358880770342,3.6547713245813833,-0.07097563179219865,2.5069319493247333
453447.99659566703,4398756.999482221,-1.3778421540239802,-0.005897805304436343,-0.0038307309190909193,3.6533715855003686,-0.06899966014800954,2.5800133125594353
453448.01040961995,4398756.927746408,-1.3783698849844028,-0.006259598720334792,-0.0039250673165511256,3.652011280458874,-0.06703234599213873,2.6530670756414954
453448.0242185025,4398756.856036923,-1.3788974222493617,-0.006621259345571671,-0.004019369089299885,3.6506902292180174,-0.06507439823611386,2.7260940254729453
453448.03802246304,4398756.784352999,-1.3794247714762715,-0.006982791058667155,-0.004113637248648086,3.649408237360687,-0.06312652579146251,2.7990949452092573
453448.0518216487,4398756.71269387,-1.3799519382934329,-0.007344197718182505,-0.004207872800702398,3.6481650962915397,-0.06118943756971232,2.872070613975778
453448.06561620615,4398756.6410587765,-1.3804789282979852,-0.00770548316131577,-0.004302076745999106,3.6469605832370022,-0.05926384248239086,2.945021806584167
453448.079406281,4398756.56944696,-1.3810057470538584,-0.008066651202497423,-0.004396250079137927,3.645794461245271,-0.057350449441025755,3.017949293248828
453448.09319201787,4398756.497857671,-1.3815324000897231,-0.008427705631986044,-0.00449039378841584,3.6446664791863115,-0.05544996735714461,3.0908538393033473
453448.10697356064,4398756.426290163,-1.382058892896944,-0.00878865021446399,-0.004584508855460911,3.6435763717518586,-0.053563105142275025,3.163736204916928
453448.12075105193,4398756.354743693,-1.3825852309275297,-0.00914948868763305,-0.004678596254866115,3.642523859455417,-0.051690571707944596,3.236597144810826
453448.1345246334,4398756.283217527,-1.3831114195920857,-0.009510224760810117,-0.004772656953823164,3.6415086486322603,-0.04983307596568094,3.309437407974784
453448.14829444553,4398756.211710935,-1.3836374642577651,-0.009870862113522866,-0.004866691911756327,3.6405304314394322,-0.04799132682701167,3.3822577373834695
453448.16199575353,4398756.140211049,-1.3841968309909933,-0.010238676812082265,-0.004959693934828535,3.6395888858557455,-0.046166033203464366,3.4550588697129063
453448.1750216352,4398756.068603488,-1.3851026344069508,-0.010681724215132003,-0.005042230235087466,3.6386836756817824,-0.04435790400656667,3.527841535056915
453448.18804434134,4398755.997013384,-1.3860082169962047,-0.011124663607220744,-0.005124746413740791,3.637814450539895,-0.042567648147846165,3.6006064566435425
453448.201064,4398755.925440033,-1.3869135876705827,-0.011567499347309688,-0.005207243282829229,3.636980845874204,-0.04079597453883045,3.6733543505515027
453448.214080738,4398755.853882737,-1.387818755249407,-0.012010235749113994,-0.005289721645964507,3.6361824829506,-0.039043592091047144,3.7460859254266086
453448.227094681,4398755.782340808,-1.3887237284559666,-0.012452877079376668,-0.005372182298007807,3.6354189688567438,-0.03731120971602385,3.8188018821982093
453448.2401059527,4398755.710813563,-1.3896285159139872,-0.0128954275561424,-0.005454626024748191,3.634689896502064,-0.03559953632528817,3.891502913795624
453448.25311467587,4398755.639300329,-1.390533126144102,-0.013337891347031457,-0.005537053602581039,3.63399484461776,-0.033909280830367705,3.964189704864579
453448.2661209713,4398755.56780044,-1.3914375675603248,-0.013780272567513529,-0.005619465798186486,3.6333333777568004,-0.03224115214279008,4.036862931483641
453448.2791249586,4398755.496313239,-1.3923418484665173,-0.014222575279181617,-0.0057018633682078546,3.6327050462939225,-0.03059585917408289,4.109523260880655
453448.3437390246,4398755.13898014,-1.3970038044978053,-0.016456342944270088,-0.0061105476705752,3.630043690590452,-0.022736742017069572,4.472654147229827
453448.402835362,4398754.780921238,-1.4037450213306857,-0.019028648972773066,-0.0064735903087911216,3.6281351235671453,-0.015554854560957912,4.835557101800744
453448.46190626535,4398754.423016437,-1.4104833368679834,-0.02159984792813142,-0.006836476700141129,3.626907191556865,-0.009138810746698561,5.198303869623017
453448.5183873074,4398754.064808488,-1.4184380342063112,-0.024266086748953586,-0.007183816707893124,3.626278879498379,-0.0035772245152422555,5.560958537289838
453448.56903248874,4398753.705744484,-1.429150011135294,-0.02714873015033218,-0.007496129227105508,3.6261603109363585,0.0010412901924603535,5.92357664681857
453448.6196790043,4398753.346671021,-1.4398622702710115,-0.030031449494871222,-0.007808449974182546,3.626452748021381,0.004628119435458544,6.286204309511339
453448.66412362375,4398752.986776389,-1.4514046924189683,-0.03304850655733412,-0.008083544672763692,3.6270485915099284,0.0070946492728016786,6.6488773198156235
453448.70346224774,4398752.62617284,-1.4636321554309748,-0.03617652076855395,-0.008327992067565916,3.6278313807643876,0.008352265763539007,7.011620269184848
453448.7428098124,4398752.265487335,-1.4758623974052911,-0.03930524589041725,-0.008572495018463156,3.6286757937530507,0.008312354966719865,7.37444565993897
453448.7707425359,4398751.903704129,-1.4903019075119925,-0.0425448512291241,-0.00873347324979402,3.6294476470501147,0.006886302941393578,7.737353019125066
453448.7956900388,4398751.541586706,-1.5053217547433144,-0.04581390822554947,-0.008872602397677842,3.630034818361385,0.004915732477939088,8.100328784160599
453448.8199407737,4398751.179388935,-1.5205519519528314,-0.04908267255662307,-0.009005529160975927,3.630442062869555,0.003283241730056053,8.463353988254006
453448.827122005,4398750.816401668,-1.54086249071403,-0.05233374243739591,-0.00898677706488927,3.630701831001383,0.001961679801774853,8.826412283872065
453448.8343036289,4398750.453394553,-1.5611741401255295,-0.05558499009788123,-0.008968023943373333,3.630843858094031,0.0009238957971258697,9.189490432769745
453448.8354541639,4398750.090432455,-1.5824218898284146,-0.05876796989931339,-0.008886224759418622,3.6308951643950635,0.00014273882013948573,9.55257803448125
453448.8217169645,4398749.727603196,-1.6059791203125895,-0.06178224099849515,-0.008648802070993672,3.6308800550624487,-0.0004089420251539161,9.91566725481107
453448.8079799133,4398749.364777855,-1.6295360964142092,-0.06479647954809584,-0.008411381946375626,3.630820120164557,-0.0007582976347239555,10.278752554325
453448.7813445245,4398749.002876493,-1.6529289521739017,-0.06756746608118215,-0.008058192361892256,3.6307342346801623,-0.0009324789045402496,10.641830416841197
453448.74364119757,4398748.641770814,-1.6761807935619641,-0.07012969500538185,-0.0076056630168640366,3.6306385584984415,-0.0009586367305724165,11.00489907792122
453448.70593885565,4398748.280674567,-1.69943202746548,-0.07269185698802409,-0.007153145494752524,3.630546536418975,-0.000863922008790075,11.36795825336106
453448.6476025308,4398747.922504674,-1.7267132356985078,-0.07454870628372602,-0.006350756087837174,3.630468898151745,-0.0006754856351628424,11.731008867682188
453448.58371094917,4398747.565127073,-1.7550792356763818,-0.07621561867602683,-0.0054541689291431475,3.630413658317138,-0.0004204785056603358,12.094052782622597
