Time,Ax,Ay,Vx,Vy,Yaw,Steer_SW,AVz,X_S1,Y_S1
          2.9, -0.0216238349676, 0.52084672451,  89.682144165, -2.08309102058, 3.81128430367, 85.2004852295, 22.3065490723,  69.438911438, 0.0572635009885
         2.91, -0.0207363814116, 0.533211767673,  89.666267395, -2.24734807014, 4.03521823883,  84.853515625, 22.5290527344, 69.6883010864, 0.062628313899
         2.92, -0.0219636838883, 0.545192301273, 89.6496353149, -2.41053009033, 4.26101922989, 84.3587493896, 22.6700553894, 69.9376449585, 0.0684493631124
         2.93, -0.0188777651638, 0.565162241459, 89.6325149536, -2.56980276108, 4.48802995682, 83.7220001221,  22.756603241,  70.186920166, 0.0747559815645
         2.94, -0.017220929265, 0.578292906284, 89.6158752441, -2.72402215004, 4.71585655212, 82.9463653564, 22.8153057098, 70.4361419678, 0.0815774425864
         2.95, -0.0142361689359, 0.589316248894, 89.5990447998, -2.87504529953, 4.94423007965, 82.0315093994,  22.844367981,  70.685295105, 0.0889377221465
         2.96, -0.0110025359318, 0.601683318615, 89.5829238892, -3.02267670631, 5.17309188843, 80.9756011963, 22.9159603119,  70.934387207, 0.0968510061502
         2.97, -0.0086135417223, 0.613022863865, 89.5668182373, -3.16821050644, 5.40325212479, 79.7615127563, 23.0848388672, 71.1834259033, 0.105310685933
         2.98, -0.00661781337112, 0.621783196926, 89.5510253906, -3.31315207481, 5.63551807404, 78.3721466064, 23.3320770264, 71.4324188232, 0.114309117198
         2.99, -0.00737663451582, 0.624407887459,   89.53465271, -3.4611158371,  5.8707690239,   76.78931427, 23.6861534119, 71.6813812256, 0.123836003244
            3, -0.00805014465004, 0.642654597759, 89.5169143677, -3.61142539978, 6.10999345779, 74.9933853149, 24.1285476685, 71.9303131104, 0.13387350738
         3.01, -0.00779233081266, 0.647242307663, 89.4984893799, -3.7644340992, 6.35385990143, 72.9691238403, 24.6212444305, 72.1792297363, 0.144421756268
         3.02, -0.00982323288918, 0.650373160839, 89.4786758423, -3.92419791222, 6.60277938843, 70.7060699463, 25.1524028778, 72.4281234741, 0.155480459332
         3.03, -0.00771872932091, 0.640911102295,  89.457862854, -4.09236431122, 6.85688257217, 68.1986846924, 25.6623020172, 72.6770095825, 0.167049378157
         3.04, -0.00832508970052, 0.626421034336, 89.4360427856, -4.27276849747, 7.11544895172, 65.4560089111, 26.0486297607, 72.9258728027, 0.17913736403
         3.05, -0.00594861200079, 0.615436375141, 89.4136657715, -4.46137666702,  7.3770608902, 62.4994888306, 26.2811508179, 73.1747055054,  0.1917655617
         3.06, -0.00504533061758, 0.598552763462, 89.3906173706, -4.65803718567, 7.64016628265, 59.3527336121, 26.3541088104, 73.4234924316, 0.204961121082
         3.07, -0.00568246655166, 0.599891245365, 89.3668746948, -4.85761737823, 7.90332698822, 56.0384864807,  26.286857605, 73.6722183228, 0.218742996454
         3.08, -0.0028714495711, 0.607052206993, 89.3427963257, -5.05274057388,  8.1650390625, 52.5788993835, 26.0603199005, 73.9208831787, 0.233146414161
         3.09, 5.73245051783e-05, 0.616319298744,  89.319152832, -5.24044370651, 8.42398929596, 48.9926109314, 25.7269325256, 74.1694564819, 0.24820934236
          3.1, 0.00380646740086, 0.631780266762, 89.2959747314, -5.41813802719, 8.67921161652,  45.292049408,  25.302318573, 74.4179382324, 0.263965517282
